current_track-next_track,diff_acousticness,diff_danceability,diff_energy,diff_valence,diff_tempo,diff_instrumentalness,diff_key,diff_mode,diff_liveness,diff_loudness,diff_speechiness,is_good_sequence
1XJ93XskwJf7PCyIVLbNBt_1eN1K7YPRButXU7Mq0V58N,0.5528000000000001,0.019000000000000128,0.19099999999999995,0.217,31.896000000000008,4.45e-05,1.0,1.0,0.08499999999999998,1.9350000000000005,0.1326,1
1eN1K7YPRButXU7Mq0V58N_4lszNcJSaz61QT6gpMhFU1,0.3458,0.04900000000000005,0.02000000000000001,0.244,12.015,4.45e-05,1.0,1.0,0.045,1.1020000000000003,0.1076,1
4lszNcJSaz61QT6gpMhFU1_6NyaXh11cDhWT7CI5S3TiU,0.033999999999999975,0.09500000000000007,0.10400000000000008,0.3130000000000001,15.051999999999992,0.142,3.0,0.0,0.047,4.539999999999999,0.114,1
6NyaXh11cDhWT7CI5S3TiU_5AdnkoZJuRJCYqYBIzSqFb,0.129,0.02099999999999991,0.13000000000000012,0.182,4.936999999999999,0.14198619999999998,6.0,0.0,0.019000000000000003,3.9419999999999984,0.014199999999999997,1
5AdnkoZJuRJCYqYBIzSqFb_0G7Ik0gmxJBFJKAmK2p1k9,0.07200000000000001,0.22399999999999987,0.1280000000000001,0.03500000000000003,5.042000000000002,1.2410000000000008e-05,2.0,0.0,0.0426,0.6740000000000013,0.2158,1
0G7Ik0gmxJBFJKAmK2p1k9_0bOH2yZkaVSg2OdegIlp2J,0.32299999999999995,0.22,0.06499999999999995,0.14899999999999994,4.977999999999994,1.39e-06,5.0,0.0,0.0786,1.306,0.2298,1
0bOH2yZkaVSg2OdegIlp2J_0RWtMmkaXFFiyh2g2hm2EM,0.33,0.11,0.18700000000000008,0.14500000000000002,5.975999999999999,0.00010800000000000001,1.0,0.0,0.08420000000000001,4.455000000000001,0.07579999999999999,1
0RWtMmkaXFFiyh2g2hm2EM_3tJ4y2Zqx6gM9xOAuFfsSF,0.191,0.09699999999999986,0.1190000000000001,0.235,5.978999999999999,0.00010083,5.0,1.0,0.002599999999999991,1.686,0.006999999999999992,1
3tJ4y2Zqx6gM9xOAuFfsSF_7aHUol3Vz9xHm4Yot2dSKi,0.31147,0.03600000000000003,0.05200000000000005,0.4729999999999999,63.99100000000002,3.1e-06,2.0,1.0,0.007400000000000005,2.654000000000001,0.0451,1
7aHUol3Vz9xHm4Yot2dSKi_4qIK8dPBwW5buRpoCohT9p,0.19247,0.03600000000000003,0.05500000000000005,0.030000000000000027,59.983000000000004,0.09509593,1.0,0.0,0.1124,3.1450000000000005,0.0237,1
4qIK8dPBwW5buRpoCohT9p_3Du2K5dLzmduCNp6uwuaL0,0.17169999999999996,0.028000000000000025,0.06200000000000005,0.2270000000000001,38.00299999999999,0.0951,3.0,1.0,0.08800000000000002,0.6499999999999977,0.2248,1
3Du2K5dLzmduCNp6uwuaL0_6OkfJkVO5anGzXuSFzMBD7,0.9027,0.19700000000000006,0.418,0.475,42.10499999999999,5.69e-06,0.0,1.0,0.11500000000000002,3.5999999999999988,0.2259,1
6OkfJkVO5anGzXuSFzMBD7_13DfJeItQygAopBmOirmJU,0.67,0.09600000000000004,0.28200000000000003,0.253,67.781,0.0004973099999999999,8.0,1.0,0.221,2.315999999999999,0.006399999999999996,1
13DfJeItQygAopBmOirmJU_1QC6VpD6q6TJrl30969QM9,0.30299999999999994,0.23600000000000004,0.08100000000000003,0.02199999999999997,72.71700000000001,0.000203,3.0,0.0,0.17300000000000004,2.7680000000000007,0.2445,1
1QC6VpD6q6TJrl30969QM9_07K0EMBhtZvs596HrWnm2w,0.5146,0.02299999999999991,0.312,0.022999999999999986,1.061000000000007,0.0106,1.0,1.0,0.19400000000000006,3.492,0.2424,1
07K0EMBhtZvs596HrWnm2w_2nFAQBrEEHA7nvYgw6lpD0,0.3786000000000001,0.25999999999999995,0.21100000000000002,0.42100000000000004,80.118,0.0109,4.0,1.0,0.265,0.7599999999999998,0.0954,1
2nFAQBrEEHA7nvYgw6lpD0_7DHApOHsIFo7EyfieArYGE,0.3701,0.24400000000000005,0.06600000000000006,0.13499999999999995,90.104,0.0,10.0,1.0,0.07599999999999997,0.30600000000000005,0.09850000000000002,1
7DHApOHsIFo7EyfieArYGE_6xUy203RnyyOfbqf96Nven,0.1181,0.245,0.3360000000000001,0.25499999999999995,4.894999999999996,0.0,6.0,1.0,0.05299999999999999,1.89,0.2375,1
6xUy203RnyyOfbqf96Nven_5tAa8Uaqr4VvA3693mbIhU,0.253,0.258,0.08999999999999997,0.10200000000000008,31.963000000000008,0.0,4.0,1.0,0.0291,1.0359999999999996,0.2242,1
5tAa8Uaqr4VvA3693mbIhU_5N4erncE7kuUccm7zEmwzk,0.4126,0.07700000000000007,0.029000000000000026,0.07999999999999996,6.737000000000008,3.33e-06,11.0,0.0,0.2411,1.1740000000000004,0.010499999999999995,1
5N4erncE7kuUccm7zEmwzk_4oQQAaU8J9A3JckIuNYCTv,0.3696,0.009000000000000008,0.07100000000000006,0.3160000000000001,26.70400000000001,1.85e-06,7.0,1.0,0.09900000000000014,2.3449999999999998,0.0198,1
4oQQAaU8J9A3JckIuNYCTv_18n2GdCpsHYzkbMKPavE7Y,0.2955,0.08599999999999998,0.19600000000000006,0.2430000000000001,31.123999999999995,1.48e-06,1.0,1.0,0.3350000000000001,5.0699999999999985,0.1185,1
18n2GdCpsHYzkbMKPavE7Y_4HhrZw9mMJQORCNUzZoX8J,0.1715,0.115,0.135,0.11199999999999992,79.98899999999998,0.0,1.0,1.0,0.0050000000000000044,2.3510000000000004,0.07229999999999999,1
4HhrZw9mMJQORCNUzZoX8J_3fd5jcZKAzoiivM4ZDwhyU,0.03,0.012000000000000007,0.05500000000000005,0.21500000000000008,31.109000000000023,0.0,7.0,1.0,0.017,0.6539999999999999,0.041600000000000005,1
3fd5jcZKAzoiivM4ZDwhyU_2dpaYNEQHiRxtZbfNsse99,0.035,0.07300000000000006,0.18700000000000008,0.342,27.09200000000001,0.0,5.0,0.0,0.04299999999999998,2.662000000000001,0.0131,1
2dpaYNEQHiRxtZbfNsse99_5N5k9nd479b1xpDZ4usjrg,0.1791,0.09399999999999986,0.024000000000000014,0.18499999999999994,23.055,4.91e-06,6.0,0.0,0.15800000000000006,3.2420000000000013,0.0058,1
5N5k9nd479b1xpDZ4usjrg_11cDEev79fPKi6uJCjUhu8,0.003990000000000002,0.2709999999999999,0.06699999999999995,0.05099999999999999,16.954000000000008,4.91e-06,8.0,0.0,0.10600000000000004,1.3180000000000005,0.005299999999999999,1
